Distance,Speed,Throttle,Brake,Time
446.0,327.621965299209,100.0,0.0,4494.41627167181
448.0,327.71343638923304,100.0,0.0,4494.438224733415
450.0,327.80490747925705,100.0,0.0,4494.460177795021
452.0,327.89635263726854,100.0,0.0,4494.482124632944
454.0,327.9877725823459,100.0,0.0,4494.504065419763
456.0,328.0,100.0,0.0,4494.526012095639
458.0,328.0,100.0,0.0,4494.547959680794
460.0,328.0,100.0,0.0,4494.569907265948
462.0,328.0,100.0,0.0,4494.591854851103
464.0,328.0,100.0,0.0,4494.613802436257
466.0,328.0,100.0,0.0,4494.635750021411
468.0,328.0,100.0,0.0,4494.657697606565
470.0,328.0,100.0,0.0,4494.67964519172
472.0,328.0,100.0,0.0,4494.701592776874
474.0,328.0,100.0,0.0,4494.723540362028
476.0,328.0,100.0,0.0,4494.745493400826
478.0,328.0,100.0,0.0,4494.767449247625
480.0,328.0,100.0,0.0,4494.789405094425
482.0,328.0,100.0,0.0,4494.811360941225
484.0,328.0,100.0,0.0,4494.833316788025
486.0,328.0,100.0,0.0,4494.855272634824
488.0,328.0,100.0,0.0,4494.877228481624
490.0,328.0,100.0,0.0,4494.899184328424
492.0,328.0,100.0,0.0,4494.921138477968
494.0,328.0,100.0,0.0,4494.9430895044225
496.0,328.0,100.0,0.0,4494.965040530876
498.0,328.0,100.0,0.0,4494.98699155733
500.0,328.0,100.0,0.0,4495.008942583783
502.0,328.0,100.0,0.0,4495.030893610237
504.0,328.0,100.0,0.0,4495.052844636691
506.0,328.0323896332027,100.0,0.0,4495.0747735119685
508.0,328.12359235477464,100.0,0.0,4495.096662165146
510.0,328.2147950763466,100.0,0.0,4495.1185508183235
512.0,328.30599779791856,100.0,0.0,4495.1404394715
514.0,328.3972005194905,100.0,0.0,4495.1623281246775
516.0,328.4884032410625,100.0,0.0,4495.184216777855
518.0,328.57960596263445,100.0,0.0,4495.2061054310325
520.0,328.6708086842064,100.0,0.0,4495.227994084209
522.0,328.76196426531646,100.0,0.0,4495.249871423675
524.0,328.85311234220427,100.0,0.0,4495.271746962128
526.0,328.9442604190921,100.0,0.0,4495.2936225005815
528.0,329.0,100.0,0.0,4495.315501519756
530.0,329.0,100.0,0.0,4495.337386018236
532.0,329.0,100.0,0.0,4495.3592705167175
534.0,329.0,100.0,0.0,4495.381155015198
536.0,329.0,100.0,0.0,4495.403039513678
538.0,329.0,100.0,0.0,4495.424924012158
540.0,329.0,100.0,0.0,4495.446808510638
542.0,329.0,100.0,0.0,4495.468693009118
544.0,329.0,100.0,0.0,4495.490577507599
546.0,329.0,100.0,0.0,4495.512462006079
548.0,329.0,100.0,0.0,4495.534346504559
550.0,329.0,100.0,0.0,4495.556231003039
